Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
9,17,6,1705,5,66,67,508,N
9,20,3,555,10,167,11,268,N
9,3,6,1250,13,19,38,224,N
7,26,3,1319,9,11,30,2066,N
9,7,3,2400,19,30,48,2421,N
1,22,6,1633,9,63,11,1726,Y
1,16,1,1247,3,145,34,521,N
10,17,1,1014,7,182,1,535,N
4,20,4,1350,0,12,1,984,Y
10,16,7,859,18,35,17,646,N
10,16,1,722,14,23,69,179,Y
12,11,7,715,4,143,147,1101,N
11,29,2,1127,19,114,48,301,N
11,7,2,922,1,144,17,369,N
7,16,6,2155,7,82,82,230,N
8,11,5,932,10,172,11,147,N
3,29,2,1836,11,0,35,745,Y
10,23,1,649,3,212,60,483,N
4,2,7,1615,3,83,34,615,N
12,17,6,1346,3,83,34,615,Y
8,2,2,1620,11,98,35,644,N
8,2,2,1630,7,82,61,948,N
6,25,7,2056,10,12,119,281,N
7,13,4,2041,14,23,3,491,Y
5,29,7,1700,18,66,17,1671,N
5,10,3,1047,12,0,142,974,N
10,10,1,1900,4,156,130,321,N
4,18,2,1621,3,234,11,213,N
3,3,4,1941,20,45,29,280,N
1,21,6,1434,20,113,13,270,N
6,21,3,1759,4,33,8,296,Y
1,25,2,1447,6,0,0,732,N
10,18,2,955,6,16,127,1864,N
7,1,5,1905,3,40,37,522,Y
12,1,5,1923,6,113,13,270,N
1,26,3,1045,9,3,0,641,N
8,22,1,2058,0,12,11,802,N
11,8,3,854,5,0,27,594,N
6,7,2,727,9,42,11,622,N
9,23,5,1315,4,11,42,345,N
12,1,5,823,9,56,60,1506,N
8,13,7,1645,10,187,0,164,N
12,13,3,557,9,23,88,867,N
3,18,6,615,7,213,6,136,N
11,2,4,1108,4,47,39,668,N
6,14,2,1554,3,28,169,77,N
4,16,7,1730,4,11,20,236,N
6,12,7,938,9,23,60,888,Y
7,29,6,1805,12,0,201,449,Y
11,24,4,2350,18,11,60,629,N
8,26,6,1025,0,104,0,551,N
4,8,6,1800,4,22,91,239,N
9,1,5,917,11,60,57,1065,N
7,10,1,1655,1,11,55,258,N
7,19,2,1724,1,100,105,357,Y
7,9,6,1006,9,34,11,1745,N
6,13,1,1230,4,35,31,407,N
1,19,4,1155,6,19,13,533,N
9,21,4,1546,5,60,27,487,N
1,11,2,621,12,0,51,227,N
3,5,6,1455,6,0,37,2139,Y
3,2,3,1351,18,11,20,236,N
4,24,1,1754,0,12,130,813,N
6,12,7,1857,15,41,60,533,Y
6,13,1,2122,12,0,208,564,N
7,7,5,1250,4,4,1,989,N
12,15,5,1626,12,46,13,874,N
11,17,5,1736,19,50,48,1522,N
9,11,1,1734,4,61,127,919,N
11,19,7,1500,12,178,105,769,N
5,4,4,1752,6,5,13,332,N
12,24,7,1332,11,51,11,925,N
3,20,1,626,1,47,50,267,N
9,8,5,1519,2,151,12,781,N
6,16,4,1446,9,10,11,1440,Y
12,1,5,1459,6,0,37,2139,N
8,22,1,1011,6,147,13,303,N
12,29,4,552,6,9,13,859,N
1,19,4,1756,6,0,30,533,N
6,14,3,1303,0,16,11,1249,N
3,19,7,1208,7,241,6,383,N
4,19,3,623,0,4,0,797,N
4,27,4,1032,4,10,9,1107,N
5,3,3,1120,0,12,142,468,N
1,3,1,945,4,156,1,1552,N
2,7,1,1842,13,19,50,183,N
4,18,2,956,9,45,11,867,N
3,18,5,1800,10,27,14,478,N
6,28,3,2108,2,18,35,446,Y
4,11,2,715,5,243,16,144,N
9,7,4,946,0,12,88,1562,N
5,4,3,1614,18,10,24,1009,N
11,29,3,1501,20,0,52,712,Y
2,22,2,823,3,23,146,462,Y
8,25,5,2226,1,17,30,321,Y
12,31,6,1843,3,28,184,238,Y
9,5,2,1937,3,87,37,250,N
9,29,4,2022,7,0,52,712,N
8,9,2,1924,6,0,38,356,N
5,8,7,754,10,23,2,316,N
7,7,4,2058,6,82,17,1569,N
6,29,3,2045,4,25,68,446,N
5,9,1,1459,10,44,0,354,N
9,23,5,1349,4,35,9,671,N
11,8,3,1500,0,12,18,190,N
5,3,3,1716,10,58,11,273,N
1,25,2,1053,9,23,88,867,N
3,6,7,905,10,12,16,852,N
3,7,2,1228,20,42,88,370,N
7,28,5,1246,6,67,5,214,Y
1,16,1,625,17,67,39,601,N
12,27,3,603,10,17,11,599,N
5,24,3,1935,14,15,30,157,N
4,26,2,827,3,36,60,72,N
8,25,5,1530,14,53,81,163,N
12,21,3,2027,20,6,13,545,N
3,17,4,1933,4,76,40,239,N
2,15,2,1216,10,12,217,134,N
7,17,1,1453,6,66,13,594,Y
12,14,4,1151,0,72,0,1616,N
4,12,3,1513,19,19,88,413,N
6,30,5,1314,5,7,36,1116,N
12,17,6,558,3,147,11,323,N
6,8,4,1810,1,28,17,651,N
8,16,2,2111,10,14,5,478,Y
9,19,1,1526,3,3,12,861,N
4,16,7,2255,0,23,20,1745,Y
9,24,7,1257,9,10,37,651,N
6,19,7,919,2,66,35,487,N
9,13,3,750,5,60,16,1008,N
4,17,1,1923,8,23,54,2846,N
4,20,3,935,18,25,17,304,N
1,10,2,700,4,144,26,358,N
3,20,1,1452,4,42,46,220,N
2,21,1,2015,4,48,39,251,Y
7,25,1,857,9,34,11,1745,N
12,4,1,1832,4,10,39,1444,N
6,29,4,2120,6,16,55,626,N
12,13,3,1822,20,4,0,797,N
5,24,3,1614,16,91,21,100,N
9,11,1,2042,20,17,13,227,Y
4,17,7,1255,10,23,233,268,N
9,19,1,825,9,86,11,1005,N
12,10,6,1112,0,12,53,175,N
7,12,2,2209,18,66,31,1750,Y
5,16,2,2025,10,23,16,334,N
9,22,5,1659,5,66,97,231,N
10,6,4,2356,18,11,24,762,N
8,6,7,956,8,63,9,978,N
2,21,1,2202,1,28,29,2521,N
9,9,6,735,7,147,6,70,N
12,7,3,1134,12,96,13,552,Y
10,26,3,1504,3,16,107,574,N
1,27,5,1230,7,82,2,221,N
10,6,5,1458,4,25,68,446,Y
9,16,6,1052,2,106,12,984,N
12,24,7,1210,4,4,27,229,Y
4,15,5,1410,5,98,16,503,N
2,8,3,1403,5,66,19,374,N
9,25,1,1920,12,0,239,147,Y
2,15,3,1915,11,51,2,1091,Y
3,23,4,1430,4,76,41,192,N
1,11,3,1250,2,60,111,278,N
10,23,1,1610,6,39,37,2586,Y
3,14,1,1838,13,19,149,401,N
6,24,6,1703,8,30,17,1107,N
4,24,7,1215,9,3,112,72,N
12,7,3,1641,10,32,28,342,N
7,20,3,1358,10,12,91,247,Y
1,3,1,1933,5,7,158,463,N
5,21,7,1225,2,92,190,280,N
2,19,6,650,3,23,8,258,N
3,27,1,1532,10,12,45,408,N
5,21,7,707,10,23,19,607,N
10,26,4,1407,3,85,60,458,Y
5,13,6,1330,6,0,20,1946,Y
5,26,4,1623,6,0,82,214,N
4,24,1,1919,9,3,53,495,N
11,8,2,1035,11,34,35,2454,N
4,17,1,1022,1,10,9,1107,N
8,23,2,1055,12,82,46,626,N
12,28,3,1610,11,86,35,938,N
3,15,3,2037,1,11,28,226,N
3,19,6,1457,12,133,13,164,N
6,9,5,1653,7,157,6,812,N
8,10,3,1548,10,23,137,286,N
11,17,5,1552,11,51,18,140,Y
10,22,6,1713,0,113,0,919,N
11,16,4,1842,8,45,9,2496,Y
5,17,3,1932,5,66,43,814,N
12,20,3,1502,14,23,64,783,N
8,20,7,1544,6,92,13,554,N
6,17,6,625,5,12,3,432,N
9,6,2,1200,4,113,57,318,N
12,31,7,1336,4,30,42,564,N
7,7,4,753,0,12,105,1192,N
4,2,6,533,7,196,6,275,N
1,14,5,1642,0,57,0,1121,Y
2,27,1,659,6,60,34,1968,N
6,18,7,729,1,23,51,599,N
11,15,3,941,14,53,32,100,N
5,16,1,2056,1,27,88,185,N
10,12,3,1250,4,42,8,737,Y
6,26,7,1026,3,179,11,224,Y
5,30,2,1400,12,98,13,432,N
2,2,3,1051,10,59,0,604,N
7,27,4,627,5,51,3,469,N
6,15,4,2035,4,48,27,440,N
10,1,6,1354,13,45,30,413,N
2,16,3,936,2,92,111,362,N
10,31,2,1832,1,1,29,267,Y
1,20,4,1013,2,136,35,194,Y
6,4,7,1755,4,144,17,369,N
9,4,7,2228,18,0,31,1747,Y
6,15,3,935,4,11,107,223,N
1,2,7,927,10,45,14,640,N
10,29,7,2031,2,51,157,796,Y
9,3,7,1319,3,3,18,775,N
3,11,5,1840,10,13,11,299,N
12,8,5,1010,7,27,38,431,Y
8,1,2,1833,8,28,9,679,Y
8,3,3,1330,4,4,92,717,N
6,30,4,954,1,17,0,936,N
12,26,2,1051,4,35,55,446,Y
6,6,2,1726,10,25,20,109,N
1,23,7,641,17,4,17,1444,N
5,12,5,2153,14,10,37,651,N
10,24,1,729,6,27,105,214,N
10,29,7,1523,4,47,50,267,N
2,3,4,1755,11,57,12,964,N
5,9,2,655,1,25,29,2369,Y
7,5,3,915,20,0,91,696,N
8,8,2,2050,3,63,20,36,N
5,1,7,1940,20,86,29,861,N
6,7,2,2106,10,27,211,378,N
8,22,2,1542,1,63,17,338,N
12,2,5,1640,4,41,8,237,N
10,25,2,1409,1,86,105,759,N
9,15,5,950,12,0,237,626,N
11,10,5,1438,0,57,8,1068,N
5,13,5,1424,0,16,0,988,N
10,19,4,1742,4,35,55,446,N
4,30,6,1709,0,86,0,984,N
9,10,7,747,0,57,0,1121,N
11,21,1,1758,2,51,112,809,N
8,5,6,1413,21,91,55,2541,N
11,20,7,1143,0,12,31,1055,N
8,25,5,1446,3,3,65,649,Y
1,24,2,756,1,1,11,412,N
4,14,5,1847,2,44,12,201,N
12,22,5,2102,0,12,31,1055,Y
2,21,2,1500,4,54,68,180,N
2,28,1,915,10,12,113,861,N
10,15,7,2314,2,51,235,79,Y
5,4,3,1055,3,16,231,175,N
9,24,7,1628,0,12,30,1172,N
5,3,2,1326,6,36,13,1185,N
7,7,5,1535,10,39,88,187,N
11,7,2,1130,14,10,70,160,Y
8,14,1,918,6,48,13,483,N
10,3,2,1337,1,1,1,834,N
5,11,4,1240,4,34,80,677,Y
5,1,7,1716,5,66,97,231,N
2,26,6,807,6,132,34,205,N
4,14,4,2023,9,28,60,967,N
8,28,7,600,12,236,13,241,N
9,28,3,1309,0,12,55,1171,N
6,12,7,806,6,0,2,554,N
1,28,5,814,12,0,98,357,N
7,1,6,1729,2,1,35,319,N
5,29,1,1452,10,17,11,599,N
1,22,6,1825,10,154,0,134,N
12,29,4,600,4,35,20,337,N
5,19,5,1856,0,57,97,1021,Y
2,11,5,729,1,1,1,834,N
6,17,6,1718,3,16,103,919,N
10,1,6,1513,10,82,0,812,Y
7,7,5,1155,14,1,30,183,Y
12,10,6,550,12,37,13,761,Y
2,19,6,1755,3,156,60,349,N
8,6,7,1325,14,17,100,213,Y
9,26,2,2149,10,45,211,201,N
12,7,3,1145,17,98,31,1591,N
1,28,5,1614,0,12,37,1464,N
6,18,6,1228,10,2,18,1162,N
3,4,5,1250,8,239,9,680,N
7,29,5,1245,4,138,127,377,N
7,1,5,1408,4,35,39,1844,Y
10,17,2,604,19,56,48,1005,N
4,6,3,1644,12,16,20,590,Y
10,23,7,2337,1,11,51,1916,N
7,11,1,1902,1,47,47,920,N
3,4,6,529,6,46,13,874,N
5,29,1,921,5,7,31,1300,N
4,17,1,943,11,25,12,1303,N
2,26,6,1912,20,0,61,595,Y
5,25,4,831,14,46,17,843,N
11,30,3,1610,4,11,20,236,N
2,24,4,950,10,222,11,139,N
10,1,6,2010,9,28,17,651,N
7,11,2,1116,2,15,35,284,Y
5,23,2,841,5,5,71,556,N
10,11,3,1615,2,7,35,1008,Y
4,5,2,1300,4,76,40,239,N
12,13,3,953,12,0,84,350,N
9,4,1,1220,4,34,127,2329,N
3,3,4,1455,3,16,58,615,N
7,2,7,748,3,34,70,237,N
4,3,7,1201,1,27,105,214,N
5,22,7,819,5,75,16,223,N
5,4,4,1309,14,23,63,157,N
1,20,4,1635,12,197,13,273,N
8,20,6,722,5,7,38,981,N
4,12,2,1212,0,57,1,193,N
10,6,5,1845,1,113,29,742,Y
9,5,1,1651,0,48,0,551,N
2,28,1,814,18,10,20,370,N
11,20,7,945,4,4,4,423,N
4,23,7,925,10,221,0,113,N
10,11,3,1854,11,27,12,1416,N
4,4,2,1713,7,82,192,123,N
6,2,4,1215,4,55,127,588,N
8,26,6,1320,12,0,64,859,Y
7,15,6,655,4,10,31,256,N
8,8,2,1609,10,96,0,190,N
3,10,5,1240,4,156,91,759,N
2,12,7,1455,4,4,92,717,Y
9,26,1,1725,4,2,127,255,N
2,22,2,1525,4,4,31,1521,N
6,2,4,1307,11,51,2,1091,N
4,14,5,1501,14,3,177,152,N
1,1,6,854,8,32,9,697,N
4,20,4,1311,10,45,48,187,N
2,7,1,830,10,96,0,190,N
1,25,2,616,0,66,0,987,N
4,12,3,710,0,34,61,2342,N
9,23,6,1817,19,39,179,2465,N
12,20,3,1158,4,138,29,290,N
2,5,7,922,4,4,46,765,N
6,9,5,1547,12,129,13,589,N
4,28,4,815,4,34,80,677,N
2,28,2,2209,9,3,9,1024,Y
3,28,2,1402,5,66,11,235,Y
1,29,6,800,7,45,6,752,Y
8,2,3,708,6,86,6,756,N
9,30,6,1339,1,1,1,834,N
6,15,4,1300,2,51,4,781,N
2,6,1,558,11,47,12,1324,N
9,3,6,940,4,25,91,1312,N
8,9,2,1252,3,16,42,422,N
12,12,2,1924,0,12,42,1345,N
8,26,6,1018,4,11,38,2027,N
11,13,7,1120,4,76,44,276,N
10,10,2,621,4,46,91,192,N
4,29,6,1206,14,101,11,528,N
11,16,3,1732,3,16,240,221,N
5,21,7,600,12,17,13,227,N
3,23,4,1909,6,23,13,606,Y
8,16,3,1713,19,39,99,264,N
5,3,3,801,0,48,147,979,N
8,3,4,1851,3,184,34,269,N
7,14,5,1502,2,88,12,925,N
12,31,6,805,0,8,0,1189,N
8,23,3,624,4,69,91,441,N
11,9,3,718,10,23,14,296,N
8,17,4,1431,5,9,16,1050,Y
4,8,5,1937,2,60,66,446,N
10,13,4,1301,0,23,17,1440,N
5,11,4,2002,1,17,97,428,Y
8,8,2,2115,14,23,114,174,Y
7,5,3,1919,9,45,11,867,N
8,26,5,918,7,45,211,201,N
8,12,5,1004,6,0,60,1199,N
8,10,4,2121,10,12,132,190,N
8,19,6,1122,3,23,69,179,N
8,8,2,1458,5,7,30,908,N
1,31,2,958,10,12,230,394,N
1,26,3,1325,7,86,38,534,N
5,3,3,1938,11,51,50,1117,N
3,8,2,1032,6,21,13,581,N
6,21,2,1259,6,0,1,403,N
9,5,1,1344,5,38,27,120,N
9,2,6,1110,10,231,0,181,N
1,31,2,1741,6,86,6,756,N
3,23,3,1306,2,51,113,929,N
6,28,3,1433,2,15,12,1201,N
12,20,3,2118,20,0,145,533,N
4,27,3,2247,12,82,149,404,N
11,29,2,1725,4,98,127,515,Y
8,16,3,930,14,83,17,455,N
3,23,3,645,9,37,60,495,N
12,6,2,1640,4,4,80,1121,N
4,5,2,1216,18,10,16,1276,N
4,4,1,815,4,25,130,367,N
1,4,2,1515,12,33,0,304,N
1,25,3,1122,10,2,5,431,N
10,19,3,1653,6,0,14,446,N
2,10,4,1040,17,28,21,2398,N
2,3,5,1808,6,0,144,134,N
1,30,7,1337,5,56,16,1307,N
7,25,1,1713,4,10,20,370,N
10,12,3,930,5,66,55,1957,N
11,30,3,1525,7,27,43,834,N
9,25,1,1329,20,101,1,1033,Y
3,28,1,1327,3,36,20,833,N
2,17,5,550,19,233,48,1576,N
9,11,1,1823,3,141,31,258,N
8,31,4,741,4,56,91,781,N
11,11,5,1126,3,181,11,240,Y
12,30,6,1710,14,42,51,361,N
3,19,7,2002,0,23,35,719,N
6,13,2,2000,4,11,80,487,N
12,2,6,1545,10,34,58,89,N
8,1,1,2226,3,28,102,158,N
9,13,3,1410,4,11,73,197,N
5,1,1,1646,8,30,54,1449,N
3,6,7,1909,11,92,88,563,N
3,2,4,2030,4,40,42,335,N
9,28,4,651,19,39,179,2465,N
12,18,1,1745,1,17,60,1337,N
2,15,2,1015,4,41,34,919,N
6,23,4,725,1,67,57,899,N
12,7,4,1528,6,0,127,576,N
4,30,7,1528,12,0,41,874,N
11,17,5,645,3,75,60,627,N
10,4,2,1241,4,11,26,397,Y
2,19,6,1042,9,23,64,783,N
2,21,1,721,2,205,12,658,N
5,19,4,2039,0,12,29,1302,N
3,20,1,910,11,60,60,1605,N
11,24,5,1607,15,3,82,1013,N
12,23,5,1855,6,113,13,270,N
4,8,5,1529,9,23,24,1739,N
5,24,2,1840,7,27,66,461,Y
12,10,7,1528,0,86,11,1005,Y
6,17,6,829,3,158,11,763,N
10,9,1,713,0,86,77,1189,N
12,20,2,1855,7,82,11,264,N
8,3,4,2250,14,37,31,987,N
2,16,3,1357,12,0,188,238,N
8,9,2,956,10,27,38,431,N
8,8,1,705,4,10,28,338,N
11,6,1,932,19,17,48,541,N
8,28,1,1207,11,51,5,1416,Y
2,18,6,548,8,201,54,261,N
1,4,3,1000,6,28,13,2139,N
9,10,7,700,10,55,105,562,N
5,27,5,1622,18,10,20,370,N
7,28,4,2128,5,7,121,1175,N
7,12,2,1823,4,90,47,487,Y
8,15,2,735,4,10,73,325,N
7,1,6,927,4,25,80,628,Y
5,29,7,1437,9,90,11,837,N
6,23,4,1924,3,25,20,109,N
8,8,1,552,9,10,37,651,N
3,26,7,1320,12,0,166,272,N
11,25,5,1230,4,10,20,370,N
7,15,5,1908,1,17,97,428,N
10,25,3,1628,7,82,2,221,N
12,9,6,600,12,106,13,669,N
2,3,5,1636,19,6,35,1024,Y
6,15,4,1230,4,66,39,229,N
8,3,3,555,10,45,105,399,N
4,5,3,2008,1,45,5,185,N
4,2,6,2259,18,11,61,2175,N
6,16,5,933,3,220,34,150,N
6,3,5,1802,12,0,23,317,N
7,22,5,1728,0,27,11,733,N
4,5,3,925,4,97,39,1440,N
7,12,3,1102,10,57,97,1021,N
4,9,7,1949,1,17,94,481,N
11,28,1,1955,4,25,17,304,Y
10,28,5,1630,4,16,17,507,Y
11,27,7,915,18,7,31,1300,Y
7,30,6,1204,9,23,16,334,N
5,26,5,658,4,100,29,238,N
1,11,2,1033,17,28,21,2398,N
10,3,2,2135,14,19,52,284,N
4,8,6,1233,10,42,88,370,N
2,15,3,1400,0,21,0,1119,N
9,26,1,1518,2,92,19,317,N
12,16,6,1933,3,34,102,209,Y
12,17,6,1316,12,107,13,563,Y
9,18,7,2025,3,16,169,607,N
11,19,6,755,10,34,55,109,N
6,26,7,757,0,42,0,1217,N
1,26,3,1109,9,23,88,867,N
8,13,6,1440,5,19,16,908,N
12,9,5,700,4,40,68,511,N
2,23,4,900,2,92,103,694,N
12,31,7,1634,4,25,31,258,N
11,24,5,905,7,92,6,221,N
12,16,6,1400,14,141,31,258,N
6,22,4,2210,12,0,171,302,Y
2,1,2,1030,10,23,16,334,N
1,23,7,2033,17,98,241,840,N
1,17,2,602,3,217,11,130,N
4,2,7,1454,5,157,27,1023,N
1,26,3,2044,2,92,8,487,N
12,15,5,650,4,46,17,843,N
7,27,3,605,20,113,13,270,N
5,15,1,1925,6,82,88,752,Y
12,6,3,1725,4,143,127,220,N
6,6,2,1354,1,28,31,414,N
8,16,3,1042,2,51,0,224,N
12,15,4,1231,3,3,107,850,Y
9,20,2,857,10,98,11,177,N
2,23,3,1226,0,23,18,978,N
9,22,4,955,4,69,40,319,N
11,1,2,1945,4,42,138,377,N
12,21,3,640,4,41,8,237,N
3,5,7,2206,10,23,189,224,Y
3,8,2,853,11,21,35,1065,N
10,17,2,1937,4,144,68,325,N
1,26,4,644,6,11,34,368,N
6,17,6,803,20,86,13,403,N
5,3,2,956,0,7,0,852,Y
10,19,4,1829,3,3,242,517,N
3,22,2,957,4,35,82,1959,N
2,5,6,1732,5,47,16,980,N
5,2,1,1139,6,182,13,151,N
5,11,4,1122,10,5,11,491,Y
9,26,2,1050,1,169,51,185,N
11,9,3,1442,6,0,5,761,N
4,27,3,530,12,134,13,508,N
5,9,2,1241,4,35,39,1844,N
5,3,2,1500,4,10,73,325,N
11,12,6,1655,9,48,60,770,N
1,31,1,1335,4,156,40,580,N
3,23,4,631,2,41,12,643,N
6,1,4,2010,4,76,127,1246,Y
5,19,5,1645,6,28,34,599,N
1,31,2,1716,8,3,24,992,N
2,8,2,707,8,149,20,945,N
9,1,4,923,7,82,30,388,N
10,11,3,1458,1,67,5,214,N
8,24,4,1938,10,66,11,235,Y
8,11,5,2209,9,23,17,1440,N
1,4,3,1000,14,99,51,88,Y
9,9,6,1800,5,42,27,408,N
6,22,4,1321,3,16,112,410,N
9,20,3,1327,0,54,11,1671,N
8,13,6,1036,6,92,13,554,N
6,25,6,1337,9,97,60,639,N
7,24,7,1858,5,7,116,491,N
7,21,5,740,3,25,20,109,N
9,21,4,620,0,27,0,1389,N
10,29,6,1440,7,39,88,187,N
8,7,1,955,2,211,2,425,N
12,13,3,2059,19,39,26,2521,Y
8,14,1,1418,5,3,16,680,N
9,29,5,1055,4,66,127,408,N
5,30,2,936,1,17,43,329,N
3,22,3,2103,8,28,131,421,Y
11,18,5,1503,0,128,0,2165,N
3,4,5,1554,1,47,57,992,Y
5,25,3,1216,10,12,217,134,N
4,10,7,705,19,35,48,2576,N
12,13,3,820,1,10,26,647,N
7,22,5,1552,1,17,11,599,N
2,10,5,944,20,0,20,1946,Y
12,7,4,1136,15,3,39,895,N
9,28,3,1953,10,23,243,714,Y
1,17,2,1456,0,25,0,1171,N
12,19,2,2104,4,21,43,318,Y
12,11,1,1405,0,21,20,2342,N
11,29,3,903,11,92,17,1737,N
5,4,4,1651,6,0,37,2139,N
7,17,7,614,1,100,105,357,N
9,14,4,1751,10,14,5,478,Y
12,16,5,1223,6,56,48,1005,Y
12,14,3,945,4,42,82,588,N
10,27,4,1130,4,144,17,369,Y
4,27,3,1107,20,86,13,403,N
8,3,4,1137,6,16,32,2936,N
1,30,7,1640,7,82,90,491,Y
9,14,3,938,6,12,13,732,N
12,9,6,1215,7,82,182,383,Y
3,25,6,1302,5,66,97,231,Y
3,7,1,1155,10,34,55,109,N
1,21,6,1809,9,23,52,473,N
5,5,5,802,3,28,110,250,N
12,8,4,830,6,0,9,2182,N
4,24,1,1813,3,72,34,630,N
5,12,4,1853,9,67,11,612,N
12,31,6,1331,10,12,219,228,Y
2,15,3,1752,9,19,20,2288,N
1,3,2,1527,14,190,60,125,Y
5,8,1,1650,2,88,35,628,N
1,7,5,1325,20,0,127,576,N
1,26,4,650,2,100,35,160,N
1,31,1,1939,0,12,29,1302,N
9,4,7,1421,2,51,128,429,N
7,29,6,1537,19,1,48,340,N
6,28,3,1815,14,3,112,72,Y
2,18,5,1434,8,10,9,1107,Y
2,7,2,1959,14,27,30,229,N
8,23,2,925,9,14,60,1155,N
8,2,3,617,2,181,12,929,N
3,13,7,2123,6,0,127,576,N
4,25,1,1651,5,7,60,680,N
11,24,5,1530,4,50,128,294,N
12,11,1,1805,9,23,92,723,Y
9,16,6,1655,12,71,13,533,N
4,7,4,2046,18,10,60,602,N
1,5,3,702,8,72,20,834,N
8,25,4,1315,3,16,183,463,Y
5,21,7,925,19,39,205,267,N
7,21,5,2046,10,23,67,577,Y
8,21,7,1238,4,4,17,1444,N
4,13,4,1418,0,27,8,887,N
3,31,4,1025,12,112,13,341,Y
2,16,3,821,5,56,27,983,N
3,17,4,1708,11,92,60,1201,N
7,12,2,1540,7,82,52,410,N
1,20,5,1000,12,119,13,317,N
7,10,1,1047,1,34,29,2401,N
12,7,3,1931,0,86,5,950,N
12,2,6,1920,10,12,67,862,Y
2,6,7,1700,8,11,9,866,N
11,13,1,1632,6,50,13,813,N
8,12,6,827,11,50,12,140,N
12,6,3,2105,9,28,20,337,N
4,4,2,734,9,16,11,1249,N
9,20,3,1405,6,0,103,692,Y
12,28,3,1103,9,28,20,337,Y
5,28,7,1252,10,34,102,209,N
4,13,4,1011,14,216,17,160,N
10,11,2,1507,7,98,6,98,N
7,28,4,2020,10,63,10,342,N
7,22,6,1444,4,42,92,288,N
7,22,5,815,13,108,30,419,Y
7,24,7,1736,2,96,12,192,Y
3,9,3,1117,4,86,133,550,Y
1,24,1,1010,12,0,15,377,Y
12,22,5,1955,7,82,154,810,N
10,15,7,1740,3,3,102,844,N
12,6,3,821,14,3,176,121,N
8,21,7,1810,4,25,68,446,N
6,27,1,821,6,16,1,1929,N
7,12,3,1355,1,47,22,211,N
10,19,3,1307,6,82,133,700,N
2,11,5,2059,1,47,92,212,Y
7,27,4,1713,0,182,0,603,N
1,30,7,1043,9,151,11,416,N
5,22,7,1625,4,50,128,294,N
11,7,1,1344,11,51,41,191,Y
1,23,1,710,0,118,0,328,N
2,10,4,2235,19,35,88,2693,N
4,4,1,831,9,25,30,2253,Y
9,14,3,1637,2,92,67,450,N
6,24,5,1852,5,7,116,491,N
4,16,7,1050,3,32,58,234,N
10,20,4,1319,15,3,0,641,N
8,6,6,2225,9,86,30,758,Y
2,4,5,1123,20,0,197,633,N
1,16,1,956,3,3,117,419,N
6,1,4,919,20,134,13,508,N
6,8,3,2112,18,7,31,1300,N
6,24,5,1100,18,11,54,2304,N
4,27,3,917,7,82,82,230,N
12,14,3,820,4,55,1,616,N
10,22,6,634,10,107,11,438,N
1,6,4,1304,2,51,137,788,N
9,1,5,1817,3,166,20,135,N
12,13,2,813,6,0,35,745,N
4,14,4,1628,7,82,79,214,N
11,2,4,1942,8,62,167,571,N
8,11,5,1427,1,6,51,590,N
6,8,3,1921,5,74,27,288,Y
7,16,6,623,6,59,13,272,N
7,29,5,1717,8,62,244,329,N
3,19,6,1150,7,82,237,316,N
7,1,6,1309,4,156,20,677,Y
6,23,5,1303,0,12,37,1464,Y
4,28,5,1820,2,60,71,725,N
7,30,7,2106,6,0,37,2139,N
1,15,7,1147,8,35,28,371,N
10,21,6,1848,4,25,31,258,N
12,3,7,1022,9,161,11,594,Y
6,28,3,1054,9,14,11,296,N
6,4,7,715,10,12,166,604,N
12,8,4,1716,20,1,13,526,Y
4,8,5,1755,1,27,50,335,N
11,3,5,1431,1,88,51,168,Y
11,9,3,2204,19,25,48,2446,N
8,11,4,1402,0,34,0,1235,N
3,23,4,15,11,72,12,1825,N
12,14,3,1000,4,20,55,480,N
1,28,5,1831,3,3,3,872,N
9,8,4,1344,0,27,82,764,N
2,1,2,1904,0,12,27,987,Y
7,18,2,1228,10,12,33,158,N
5,21,7,2209,14,19,2,288,Y
9,22,4,1411,3,16,80,493,Y
12,3,7,1411,9,149,60,836,N
6,12,1,1317,11,51,18,140,N
5,12,4,1222,6,16,32,2936,Y
2,9,3,645,11,135,12,376,N
5,4,4,1715,4,100,39,842,N
6,30,4,830,4,11,127,2106,N
6,14,2,620,2,158,2,489,N
3,6,1,1146,11,51,215,986,N
10,7,6,2047,8,35,9,671,N
2,22,3,639,6,12,6,812,N
4,13,3,1808,20,86,127,787,N
6,23,4,945,0,12,68,1456,N
4,30,6,826,2,44,12,201,N
11,7,2,2146,4,41,31,1140,N
9,6,2,554,2,79,12,262,N
8,23,3,906,4,35,9,671,N
5,17,3,1417,4,22,80,580,N
1,16,1,1540,8,62,185,261,Y
3,7,2,557,9,38,11,137,N
3,25,6,1435,11,25,12,1303,N
11,9,4,1412,15,7,60,680,N
10,26,3,1105,3,16,194,436,N
5,6,6,1446,5,34,21,2556,N
10,24,2,1022,3,129,60,616,N
2,22,3,809,12,207,13,596,Y
4,17,1,1831,21,200,21,163,N
6,14,3,727,4,30,17,1107,N
1,28,5,825,12,17,13,227,N
11,4,5,926,10,82,11,264,N
1,23,1,1341,3,141,34,501,Y
5,2,1,735,2,55,12,657,N
12,29,4,2104,6,57,13,595,Y
6,9,5,1705,14,51,51,913,N
4,26,2,944,0,12,34,988,N
